orth,phon,syllables
lane,"['L', 'EY1', 'N']",1
leaf,"['L', 'IY1', 'F']",1
leap,"['L', 'IY1', 'P']",1
lemon,"['L', 'EH1', 'M', 'AH0', 'N']",2
lima,"['L', 'AY1', 'M', 'AH0']",2
locked,"['L', 'AA1', 'K', 'T']",1
london,"['L', 'AH1', 'N', 'D', 'AH0', 'N']",2
luckily,"['L', 'AH1', 'K', 'AH0', 'L', 'IY0']",3
machine,"['M', 'AH0', 'SH', 'IY1', 'N']",2
madame,"['M', 'AE1', 'D', 'AH0', 'M']",2
magical,"['M', 'AE1', 'JH', 'IH0', 'K', 'AH0', 'L']",3
maids,"['M', 'EY1', 'D', 'Z']",1
marched,"['M', 'AA1', 'R', 'CH', 'T']",1
mend,"['M', 'EH1', 'N', 'D']",1
michael,"['M', 'AY1', 'K', 'AH0', 'L']",2
mile,"['M', 'AY1', 'L']",1
mixer,"['M', 'IH1', 'K', 'S', 'ER0']",2
morn,"['M', 'AO1', 'R', 'N']",1
motor,"['M', 'OW1', 'T', 'ER0']",2
nancy,"['N', 'AE1', 'N', 'S', 'IY0']",2
neither,"['N', 'IY1', 'DH', 'ER0']",2
net,"['N', 'EH1', 'T']",1
nicely,"['N', 'AY1', 'S', 'L', 'IY0']",2
nowhere,"['N', 'OW1', 'W', 'EH2', 'R']",2
nurse,"['N', 'ER1', 'S']",1
officer,"['AO1', 'F', 'AH0', 'S', 'ER0']",3
ought,"['AO1', 'T']",1
parlor,"['P', 'AA1', 'R', 'L', 'ER0']",2
patch,"['P', 'AE1', 'CH']",1
peach,"['P', 'IY1', 'CH']",1
pigeon,"['P', 'IH1', 'JH', 'AH0', 'N']",2
pin,"['P', 'IH1', 'N']",1
placed,"['P', 'L', 'EY1', 'S', 'T']",1
plants,"['P', 'L', 'AE1', 'N', 'T', 'S']",1
plowed,"['P', 'L', 'AW1', 'D']",1
poached,"['P', 'OW1', 'CH', 'T']",1
pots,"['P', 'AA1', 'T', 'S']",1
practice,"['P', 'R', 'AE1', 'K', 'T', 'AH0', 'S']",2
proper,"['P', 'R', 'AA1', 'P', 'ER0']",2
pulling,"['P', 'UH1', 'L', 'IH0', 'NG']",2
racing,"['R', 'EY1', 'S', 'IH0', 'NG']",2
rained,"['R', 'EY1', 'N', 'D']",1
recess,"['R', 'IH0', 'S', 'EH1', 'S']",2
return,"['R', 'IH0', 'T', 'ER1', 'N']",2
rid,"['R', 'IH1', 'D']",1
rise,"['R', 'AY1', 'Z']",1
rita,"['R', 'IY1', 'T', 'AH0']",2
rug,"['R', 'AH1', 'G']",1
rumble,"['R', 'AH1', 'M', 'B', 'AH0', 'L']",2
sail,"['S', 'EY1', 'L']",1
sally,"['S', 'AE1', 'L', 'IY0']",2
sarah,"['S', 'EH1', 'R', 'AH0']",2
save,"['S', 'EY1', 'V']",1
seems,"['S', 'IY1', 'M', 'Z']",1
served,"['S', 'ER1', 'V', 'D']",1
setting,"['S', 'EH1', 'T', 'IH0', 'NG']",2
settle,"['S', 'EH1', 'T', 'AH0', 'L']",2
settled,"['S', 'EH1', 'T', 'AH0', 'L', 'D']",2
sew,"['S', 'OW1']",1
shapes,"['SH', 'EY1', 'P', 'S']",1
shopping,"['SH', 'AA1', 'P', 'IH0', 'NG']",2
shore,"['SH', 'AO1', 'R']",1
shorts,"['SH', 'AO1', 'R', 'T', 'S']",1
silence,"['S', 'AY1', 'L', 'AH0', 'N', 'S']",2
sink,"['S', 'IH1', 'NG', 'K']",1
skip,"['S', 'K', 'IH1', 'P']",1
smiling,"['S', 'M', 'AY1', 'L', 'IH0', 'NG']",2
smooth,"['S', 'M', 'UW1', 'DH']",1
snacks,"['S', 'N', 'AE1', 'K', 'S']",1
snuggle,"['S', 'N', 'AH1', 'G', 'AH0', 'L']",2
sold,"['S', 'OW1', 'L', 'D']",1
solomon,"['S', 'AA1', 'L', 'AH0', 'M', 'AH0', 'N']",3
someday,"['S', 'AH1', 'M', 'D', 'EY2']",2
sons,"['S', 'AH1', 'N', 'Z']",1
speaking,"['S', 'P', 'IY1', 'K', 'IH0', 'NG']",2
sped,"['S', 'P', 'EH1', 'D']",1
speed,"['S', 'P', 'IY1', 'D']",1
spell,"['S', 'P', 'EH1', 'L']",1
spider,"['S', 'P', 'AY1', 'D', 'ER0']",2
staring,"['S', 'T', 'EH1', 'R', 'IH0', 'NG']",2
stocking,"['S', 'T', 'AA1', 'K', 'IH0', 'NG']",2
stores,"['S', 'T', 'AO1', 'R', 'Z']",1
stumble,"['S', 'T', 'AH1', 'M', 'B', 'AH0', 'L']",2
stupid,"['S', 'T', 'UW1', 'P', 'AH0', 'D']",2
telling,"['T', 'EH1', 'L', 'IH0', 'NG']",2
toads,"['T', 'OW1', 'D', 'Z']",1
tommy,"['T', 'AA1', 'M', 'IY0']",2
tore,"['T', 'AO1', 'R']",1
towels,"['T', 'AW1', 'AH0', 'L', 'Z']",2
trail,"['T', 'R', 'EY1', 'L']",1
trashy,"['T', 'R', 'AE1', 'SH', 'IY0']",2
treat,"['T', 'R', 'IY1', 'T']",1
tumbled,"['T', 'AH1', 'M', 'B', 'AH0', 'L', 'D']",2
tweedle,"['T', 'W', 'IY1', 'D', 'AH0', 'L']",2
twelve,"['T', 'W', 'EH1', 'L', 'V']",1
umbrella,"['AH0', 'M', 'B', 'R', 'EH1', 'L', 'AH0']",3
using,"['Y', 'UW1', 'Z', 'IH0', 'NG']",2
wagon,"['W', 'AE1', 'G', 'AH0', 'N']",2
walks,"['W', 'AO1', 'K', 'S']",1
war,"['W', 'AO1', 'R']",1
weeks,"['W', 'IY1', 'K', 'S']",1
west,"['W', 'EH1', 'S', 'T']",1
wheel,"['W', 'IY1', 'L']",1
willy,"['W', 'IH1', 'L', 'IY0']",2
wine,"['W', 'AY1', 'N']",1
wrapped,"['R', 'AE1', 'P', 'T']",1
yeah,"['Y', 'AE1']",1
yummy,"['Y', 'AH1', 'M', 'IY0']",2
aboard,"['AH0', 'B', 'AO1', 'R', 'D']",2
aha,"['AA2', 'HH', 'AA1']",2
alarm,"['AH0', 'L', 'AA1', 'R', 'M']",2
alphabet,"['AE1', 'L', 'F', 'AH0', 'B', 'EH2', 'T']",3
annual,"['AE1', 'N', 'Y', 'UW0', 'AH0', 'L']",3
archduke,"['AA1', 'R', 'CH', 'D', 'UW2', 'K']",2
awesome,"['AA1', 'S', 'AH0', 'M']",2
balls,"['B', 'AO1', 'L', 'Z']",1
bank,"['B', 'AE1', 'NG', 'K']",1
beds,"['B', 'EH1', 'D', 'Z']",1
belong,"['B', 'IH0', 'L', 'AO1', 'NG']",2
berry,"['B', 'EH1', 'R', 'IY0']",2
bits,"['B', 'IH1', 'T', 'S']",1
bless,"['B', 'L', 'EH1', 'S']",1
bobbin,"['B', 'AA1', 'B', 'AH0', 'N']",2
bobby,"['B', 'AA1', 'B', 'IY0']",2
bonny,"['B', 'AA1', 'N', 'IY0']",2
brake,"['B', 'R', 'EY1', 'K']",1
bruin,"['B', 'R', 'UW1', 'IH0', 'N']",2
brushed,"['B', 'R', 'AH1', 'SH', 'T']",1
buns,"['B', 'AH1', 'N', 'Z']",1
bunting,"['B', 'AH1', 'N', 'T', 'IH0', 'NG']",2
buried,"['B', 'EH1', 'R', 'IY0', 'D']",2
burnt,"['B', 'ER1', 'N', 'T']",1
buster,"['B', 'AH1', 'S', 'T', 'ER0']",2
candle,"['K', 'AE1', 'N', 'D', 'AH0', 'L']",2
carrion,"['K', 'EH1', 'R', 'IY0', 'AH0', 'N']",3
cart,"['K', 'AA1', 'R', 'T']",1
chains,"['CH', 'EY1', 'N', 'Z']",1
charlie,"['CH', 'AA1', 'R', 'L', 'IY0']",2
checked,"['CH', 'EH1', 'K', 'T']",1
chief,"['CH', 'IY1', 'F']",1
church,"['CH', 'ER1', 'CH']",1
cleared,"['K', 'L', 'IH1', 'R', 'D']",1
cluck,"['K', 'L', 'AH1', 'K']",1
cocky,"['K', 'AA1', 'K', 'IY0']",2
collar,"['K', 'AA1', 'L', 'ER0']",2
crack,"['K', 'R', 'AE1', 'K']",1
crumpled,"['K', 'R', 'AH1', 'M', 'P', 'AH0', 'L', 'D']",2
crusher,"['K', 'R', 'AH1', 'SH', 'ER0']",2
cuddle,"['K', 'AH1', 'D', 'AH0', 'L']",2
curl,"['K', 'ER1', 'L']",1
daisy,"['D', 'EY1', 'Z', 'IY0']",2
dashed,"['D', 'AE1', 'SH', 'T']",1
dearest,"['D', 'IH1', 'R', 'AH0', 'S', 'T']",2
derby,"['D', 'ER1', 'B', 'IY0']",2
digs,"['D', 'IH1', 'G', 'Z']",1
dinners,"['D', 'IH1', 'N', 'ER0', 'Z']",2
distance,"['D', 'IH1', 'S', 'T', 'AH0', 'N', 'S']",2
dozing,"['D', 'OW1', 'Z', 'IH0', 'NG']",2
dreadful,"['D', 'R', 'EH1', 'D', 'F', 'AH0', 'L']",2
driving,"['D', 'R', 'AY1', 'V', 'IH0', 'NG']",2
drop,"['D', 'R', 'AA1', 'P']",1
eats,"['IY1', 'T', 'S']",1
emma,"['EH1', 'M', 'AH0']",2
ended,"['EH1', 'N', 'D', 'AH0', 'D']",2
enjoy,"['EH0', 'N', 'JH', 'OY1']",2
enormous,"['IH0', 'N', 'AO1', 'R', 'M', 'AH0', 'S']",3
farther,"['F', 'AA1', 'R', 'DH', 'ER0']",2
fault,"['F', 'AO1', 'L', 'T']",1
fishing,"['F', 'IH1', 'SH', 'IH0', 'NG']",2
flapped,"['F', 'L', 'AE1', 'P', 'T']",1
float,"['F', 'L', 'OW1', 'T']",1
fool,"['F', 'UW1', 'L']",1
france,"['F', 'R', 'AE1', 'N', 'S']",1
fred,"['F', 'R', 'EH1', 'D']",1
gander,"['G', 'AE1', 'N', 'D', 'ER0']",2
gathered,"['G', 'AE1', 'DH', 'ER0', 'D']",2
giraffe,"['JH', 'ER0', 'AE1', 'F']",2
gloria,"['G', 'L', 'AO1', 'R', 'IY0', 'AH0']",3
gloves,"['G', 'L', 'AH1', 'V', 'Z']",1
grandmas,"['G', 'R', 'AE1', 'N', 'D', 'M', 'AA2', 'Z']",2
grapes,"['G', 'R', 'EY1', 'P', 'S']",1
gravel,"['G', 'R', 'AE1', 'V', 'AH0', 'L']",2
growl,"['G', 'R', 'AW1', 'L']",1
handy,"['HH', 'AE1', 'N', 'D', 'IY0']",2
hearts,"['HH', 'AA1', 'R', 'T', 'S']",1
hens,"['HH', 'EH1', 'N', 'Z']",1
hester,"['HH', 'EH1', 'S', 'T', 'ER0']",2
hidden,"['HH', 'IH1', 'D', 'AH0', 'N']",2
hiss,"['HH', 'IH1', 'S']",1
hoping,"['HH', 'OW1', 'P', 'IH0', 'NG']",2
hum,"['HH', 'AH1', 'M']",1
hump,"['HH', 'AH1', 'M', 'P']",1
inch,"['IH1', 'N', 'CH']",1
indoors,"['IH1', 'N', 'D', 'AO2', 'R', 'Z']",2
judy,"['JH', 'UW1', 'D', 'IY0']",2
kill,"['K', 'IH1', 'L']",1
knit,"['N', 'IH1', 'T']",1
known,"['N', 'OW1', 'N']",1
lakes,"['L', 'EY1', 'K', 'S']",1
laughter,"['L', 'AE1', 'F', 'T', 'ER0']",2
lift,"['L', 'IH1', 'F', 'T']",1
lizzy,"['L', 'IH1', 'Z', 'IY0']",2
llamas,"['L', 'AA1', 'M', 'AH0', 'Z']",2
longed,"['L', 'AO1', 'NG', 'D']",1
lord,"['L', 'AO1', 'R', 'D']",1
madeline,"['M', 'AE1', 'D', 'AH0', 'L', 'IH0', 'N']",3
mare,"['M', 'EH1', 'R']",1
missed,"['M', 'IH1', 'S', 'T']",1
mobile,"['M', 'OW1', 'B', 'AH0', 'L']",2
moves,"['M', 'UW1', 'V', 'Z']",1
mule,"['M', 'Y', 'UW1', 'L']",1
murmured,"['M', 'ER1', 'M', 'ER0', 'D']",2
nodded,"['N', 'AA1', 'D', 'AH0', 'D']",2
nothin,"['N', 'AA1', 'TH', 'IH0', 'N']",2
painters,"['P', 'EY1', 'N', 'T', 'ER0', 'Z']",2
panda,"['P', 'AE1', 'N', 'D', 'AH0']",2
pardon,"['P', 'AA1', 'R', 'D', 'AH0', 'N']",2
peacock,"['P', 'IY1', 'K', 'AA2', 'K']",2
pease,"['P', 'IY1', 'Z']",1
peddler,"['P', 'EH1', 'D', 'L', 'ER0']",2
peppers,"['P', 'EH1', 'P', 'ER0', 'Z']",2
pipe,"['P', 'AY1', 'P']",1
plastic,"['P', 'L', 'AE1', 'S', 'T', 'IH0', 'K']",2
plates,"['P', 'L', 'EY1', 'T', 'S']",1
polly,"['P', 'AA1', 'L', 'IY0']",2
poured,"['P', 'AO1', 'R', 'D']",1
pressed,"['P', 'R', 'EH1', 'S', 'T']",1
raccoon,"['R', 'AE0', 'K', 'UW1', 'N']",2
rag,"['R', 'AE1', 'G']",1
ram,"['R', 'AE1', 'M']",1
rats,"['R', 'AE1', 'T', 'S']",1
remind,"['R', 'IY0', 'M', 'AY1', 'N', 'D']",2
repairs,"['R', 'IH0', 'P', 'EH1', 'R', 'Z']",2
rings,"['R', 'IH1', 'NG', 'Z']",1
rivers,"['R', 'IH1', 'V', 'ER0', 'Z']",2
roar,"['R', 'AO1', 'R']",1
roaring,"['R', 'AO1', 'R', 'IH0', 'NG']",2
roars,"['R', 'AO1', 'R', 'Z']",1
roller,"['R', 'OW1', 'L', 'ER0']",2
sailing,"['S', 'EY1', 'L', 'IH0', 'NG']",2
santas,"['S', 'AE1', 'N', 'T', 'AH0', 'S']",2
scarcely,"['S', 'K', 'EH1', 'R', 'S', 'L', 'IY0']",2
scary,"['S', 'K', 'EH1', 'R', 'IY0']",2
scream,"['S', 'K', 'R', 'IY1', 'M']",1
shouts,"['SH', 'AW1', 'T', 'S']",1
siding,"['S', 'AY1', 'D', 'IH0', 'NG']",2
size,"['S', 'AY1', 'Z']",1
skin,"['S', 'K', 'IH1', 'N']",1
skinny,"['S', 'K', 'IH1', 'N', 'IY0']",2
slipped,"['S', 'L', 'IH1', 'P', 'T']",1
sneaky,"['S', 'N', 'IY1', 'K', 'IY0']",2
snowman,"['S', 'N', 'OW1', 'M', 'AE2', 'N']",2
speech,"['S', 'P', 'IY1', 'CH']",1
spotted,"['S', 'P', 'AA1', 'T', 'AH0', 'D']",2
steal,"['S', 'T', 'IY1', 'L']",1
steel,"['S', 'T', 'IY1', 'L']",1
stomach,"['S', 'T', 'AH1', 'M', 'AH0', 'K']",2
stones,"['S', 'T', 'OW1', 'N', 'Z']",1
struck,"['S', 'T', 'R', 'AH1', 'K']",1
stump,"['S', 'T', 'AH1', 'M', 'P']",1
sweaters,"['S', 'W', 'EH1', 'T', 'ER0', 'Z']",2
swings,"['S', 'W', 'IH1', 'NG', 'Z']",1
tales,"['T', 'EY1', 'L', 'Z']",1
tasty,"['T', 'EY1', 'S', 'T', 'IY0']",2
team,"['T', 'IY1', 'M']",1
thumbs,"['TH', 'AH1', 'M', 'Z']",1
tiger,"['T', 'AY1', 'G', 'ER0']",2
tin,"['T', 'IH1', 'N']",1
title,"['T', 'AY1', 'T', 'AH0', 'L']",2
tomato,"['T', 'AH0', 'M', 'EY1', 'T', 'OW2']",3
tow,"['T', 'OW1']",1
tray,"['T', 'R', 'EY1']",1
trixie,"['T', 'R', 'IH1', 'K', 'S', 'IY0']",2
troubles,"['T', 'R', 'AH1', 'B', 'AH0', 'L', 'Z']",2
unhappy,"['AH0', 'N', 'HH', 'AE1', 'P', 'IY0']",3
vet,"['V', 'EH1', 'T']",1
village,"['V', 'IH1', 'L', 'AH0', 'JH']",2
waits,"['W', 'EY1', 'T', 'S']",1
walls,"['W', 'AO1', 'L', 'Z']",1
wave,"['W', 'EY1', 'V']",1
waving,"['W', 'EY1', 'V', 'IH0', 'NG']",2
whenever,"['W', 'EH0', 'N', 'EH1', 'V', 'ER0']",3
witch,"['W', 'IH1', 'CH']",1
worn,"['W', 'AO1', 'R', 'N']",1
american,"['AH0', 'M', 'EH1', 'R', 'AH0', 'K', 'AH0', 'N']",4
antique,"['AE0', 'N', 'T', 'IY1', 'K']",2
apart,"['AH0', 'P', 'AA1', 'R', 'T']",2
axe,"['AE1', 'K', 'S']",1
backyard,"['B', 'AE1', 'K', 'Y', 'AA2', 'R', 'D']",2
bakers,"['B', 'EY1', 'K', 'ER0', 'Z']",2
bands,"['B', 'AE1', 'N', 'D', 'Z']",1
banged,"['B', 'AE1', 'NG', 'D']",1
bar,"['B', 'AA1', 'R']",1
bars,"['B', 'AA1', 'R', 'Z']",1
bean,"['B', 'IY1', 'N']",1
beef,"['B', 'IY1', 'F']",1
ben,"['B', 'EH1', 'N']",1
bessy,"['B', 'EH1', 'S', 'IY0']",2
bicycle,"['B', 'AY1', 'S', 'IH0', 'K', 'AH0', 'L']",3
bikes,"['B', 'AY1', 'K', 'S']",1
blade,"['B', 'L', 'EY1', 'D']",1
blind,"['B', 'L', 'AY1', 'N', 'D']",1
bother,"['B', 'AA1', 'DH', 'ER0']",2
bout,"['B', 'AW1', 'T']",1
brains,"['B', 'R', 'EY1', 'N', 'Z']",1
brass,"['B', 'R', 'AE1', 'S']",1
brings,"['B', 'R', 'IH1', 'NG', 'Z']",1
bulls,"['B', 'UH1', 'L', 'Z']",1
burned,"['B', 'ER1', 'N', 'D']",1
cage,"['K', 'EY1', 'JH']",1
cakes,"['K', 'EY1', 'K', 'S']",1
camel,"['K', 'AE1', 'M', 'AH0', 'L']",2
carrying,"['K', 'AE1', 'R', 'IY0', 'IH0', 'NG']",3
cast,"['K', 'AE1', 'S', 'T']",1
cement,"['S', 'AH0', 'M', 'EH1', 'N', 'T']",2
charley,"['CH', 'AA1', 'R', 'L', 'IY0']",2
cheering,"['CH', 'IH1', 'R', 'IH0', 'NG']",2
choice,"['CH', 'OY1', 'S']",1
colder,"['K', 'OW1', 'L', 'D', 'ER0']",2
cottage,"['K', 'AA1', 'T', 'AH0', 'JH']",2
counting,"['K', 'AW1', 'N', 'T', 'IH0', 'NG']",2
crawl,"['K', 'R', 'AO1', 'L']",1
creep,"['K', 'R', 'IY1', 'P']",1
cups,"['K', 'AH1', 'P', 'S']",1
cute,"['K', 'Y', 'UW1', 'T']",1
dancer,"['D', 'AE1', 'N', 'S', 'ER0']",2
declared,"['D', 'IH0', 'K', 'L', 'EH1', 'R', 'D']",2
dee,"['D', 'IY1']",1
delivery,"['D', 'IH0', 'L', 'IH1', 'V', 'ER0', 'IY0']",4
dollar,"['D', 'AA1', 'L', 'ER0']",2
dong,"['D', 'AO1', 'NG']",1
dozen,"['D', 'AH1', 'Z', 'AH0', 'N']",2
drake,"['D', 'R', 'EY1', 'K']",1
drank,"['D', 'R', 'AE1', 'NG', 'K']",1
drapes,"['D', 'R', 'EY1', 'P', 'S']",1
dresses,"['D', 'R', 'EH1', 'S', 'AH0', 'Z']",2
dwell,"['D', 'W', 'EH1', 'L']",1
eagle,"['IY1', 'G', 'AH0', 'L']",2
elves,"['EH1', 'L', 'V', 'Z']",1
empties,"['EH1', 'M', 'P', 'T', 'IY0', 'Z']",2
faint,"['F', 'EY1', 'N', 'T']",1
falls,"['F', 'AO1', 'L', 'Z']",1
fan,"['F', 'AE1', 'N']",1
feathers,"['F', 'EH1', 'DH', 'ER0', 'Z']",2
firemen,"['F', 'AY1', 'R', 'M', 'AH0', 'N']",2
flag,"['F', 'L', 'AE1', 'G']",1
flavors,"['F', 'L', 'EY1', 'V', 'ER0', 'Z']",2
flea,"['F', 'L', 'IY1']",1
flip,"['F', 'L', 'IH1', 'P']",1
forlorn,"['F', 'ER0', 'L', 'AO1', 'R', 'N']",2
french,"['F', 'R', 'EH1', 'N', 'CH']",1
frisbee,"['F', 'R', 'IH1', 'S', 'B', 'IY0']",2
frosty,"['F', 'R', 'AO1', 'S', 'T', 'IY0']",2
fuel,"['F', 'Y', 'UW1', 'AH0', 'L']",2
garage,"['G', 'ER0', 'AA1', 'ZH']",2
gather,"['G', 'AE1', 'DH', 'ER0']",2
gazed,"['G', 'EY1', 'Z', 'D']",1
ghost,"['G', 'OW1', 'S', 'T']",1
grade,"['G', 'R', 'EY1', 'D']",1
groaned,"['G', 'R', 'OW1', 'N', 'D']",1
grumbled,"['G', 'R', 'AH1', 'M', 'B', 'AH0', 'L', 'D']",2
hatt,"['HH', 'AE1', 'T']",1
hornpipe,"['HH', 'AO1', 'R', 'N', 'P', 'AY0', 'P']",2
hugs,"['HH', 'AH1', 'G', 'Z']",1
icy,"['AY1', 'S', 'IY0']",2
ing,"['IH1', 'NG']",1
instant,"['IH1', 'N', 'S', 'T', 'AH0', 'N', 'T']",2
iron,"['AY1', 'ER0', 'N']",2
ish,"['IH1', 'SH']",1
jar,"['JH', 'AA1', 'R']",1
jeep,"['JH', 'IY1', 'P']",1
jerry,"['JH', 'EH1', 'R', 'IY0']",2
jill,"['JH', 'IH1', 'L']",1
joey,"['JH', 'OW1', 'IY0']",2
jolly,"['JH', 'AA1', 'L', 'IY0']",2
junior,"['JH', 'UW1', 'N', 'Y', 'ER0']",2
keeps,"['K', 'IY1', 'P', 'S']",1
ketchup,"['K', 'EH1', 'CH', 'AH0', 'P']",2
kitty,"['K', 'IH1', 'T', 'IY0']",2
knife,"['N', 'AY1', 'F']",1
lambs,"['L', 'AE1', 'M', 'Z']",1
landing,"['L', 'AE1', 'N', 'D', 'IH0', 'NG']",2
lap,"['L', 'AE1', 'P']",1
lean,"['L', 'IY1', 'N']",1
learning,"['L', 'ER1', 'N', 'IH0', 'NG']",2
licks,"['L', 'IH1', 'K', 'S']",1
lifting,"['L', 'IH1', 'F', 'T', 'IH0', 'NG']",2
likely,"['L', 'AY1', 'K', 'L', 'IY0']",2
lips,"['L', 'IH1', 'P', 'S']",1
loader,"['L', 'OW1', 'D', 'ER0']",2
locks,"['L', 'AA1', 'K', 'S']",1
log,"['L', 'AO1', 'G']",1
logs,"['L', 'AO1', 'G', 'Z']",1
loudly,"['L', 'AW1', 'D', 'L', 'IY0']",2
mars,"['M', 'AA1', 'R', 'Z']",1
melted,"['M', 'EH1', 'L', 'T', 'AH0', 'D']",2
mister,"['M', 'IH1', 'S', 'T', 'ER0']",2
mittens,"['M', 'IH1', 'T', 'AH0', 'N', 'Z']",2
muff,"['M', 'AH1', 'F']",1
munch,"['M', 'AH1', 'N', 'CH']",1
mustard,"['M', 'AH1', 'S', 'T', 'ER0', 'D']",2
narrator,"['N', 'EH1', 'R', 'EY0', 'T', 'ER0']",3
noisy,"['N', 'OY1', 'Z', 'IY0']",2
nor,"['N', 'AO1', 'R']",1
noses,"['N', 'OW1', 'Z', 'IH0', 'Z']",2
noticed,"['N', 'OW1', 'T', 'AH0', 'S', 'T']",2
ouch,"['AW1', 'CH']",1
paid,"['P', 'EY1', 'D']",1
painting,"['P', 'EY1', 'N', 'T', 'IH0', 'NG']",2
pal,"['P', 'AE1', 'L']",1
pan,"['P', 'AE1', 'N']",1
pans,"['P', 'AE1', 'N', 'Z']",1
papas,"['P', 'AA1', 'P', 'AH0', 'Z']",2
patient,"['P', 'EY1', 'SH', 'AH0', 'N', 'T']",2
peas,"['P', 'IY1', 'Z']",1
peeked,"['P', 'IY1', 'K', 'T']",1
pencil,"['P', 'EH1', 'N', 'S', 'AH0', 'L']",2
pickled,"['P', 'IH1', 'K', 'AH0', 'L', 'D']",2
pillow,"['P', 'IH1', 'L', 'OW0']",2
plans,"['P', 'L', 'AE1', 'N', 'Z']",1
plant,"['P', 'L', 'AE1', 'N', 'T']",1
pleased,"['P', 'L', 'IY1', 'Z', 'D']",1
plow,"['P', 'L', 'AW1']",1
plump,"['P', 'L', 'AH1', 'M', 'P']",1
pony,"['P', 'OW1', 'N', 'IY0']",2
poodle,"['P', 'UW1', 'D', 'AH0', 'L']",2
post,"['P', 'OW1', 'S', 'T']",1
powder,"['P', 'AW1', 'D', 'ER0']",2
present,"['P', 'R', 'EH1', 'Z', 'AH0', 'N', 'T']",2
public,"['P', 'AH1', 'B', 'L', 'IH0', 'K']",2
puffing,"['P', 'AH1', 'F', 'IH0', 'NG']",2
pulls,"['P', 'UH1', 'L', 'Z']",1
pumped,"['P', 'AH1', 'M', 'P', 'T']",1
rabbits,"['R', 'AE1', 'B', 'AH0', 'T', 'S']",2
railroad,"['R', 'EY1', 'L', 'R', 'OW2', 'D']",2
rails,"['R', 'EY1', 'L', 'Z']",1
rainbow,"['R', 'EY1', 'N', 'B', 'OW2']",2
rake,"['R', 'EY1', 'K']",1
raven,"['R', 'EY1', 'V', 'AH0', 'N']",2
rested,"['R', 'EH1', 'S', 'T', 'AH0', 'D']",2
resting,"['R', 'EH1', 'S', 'T', 'IH0', 'NG']",2
ringing,"['R', 'IH1', 'NG', 'IH0', 'NG']",2
rolling,"['R', 'OW1', 'L', 'IH0', 'NG']",2
rushing,"['R', 'AH1', 'SH', 'IH0', 'NG']",2
salad,"['S', 'AE1', 'L', 'AH0', 'D']",2
scrub,"['S', 'K', 'R', 'AH1', 'B']",1
serve,"['S', 'ER1', 'V']",1
shame,"['SH', 'EY1', 'M']",1
sheets,"['SH', 'IY1', 'T', 'S']",1
ships,"['SH', 'IH1', 'P', 'S']",1
shoot,"['SH', 'UW1', 'T']",1
shoulder,"['SH', 'OW1', 'L', 'D', 'ER0']",2
sleeps,"['S', 'L', 'IY1', 'P', 'S']",1
slug,"['S', 'L', 'AH1', 'G']",1
slurp,"['S', 'L', 'ER1', 'P']",1
smashed,"['S', 'M', 'AE1', 'SH', 'T']",1
smiles,"['S', 'M', 'AY1', 'L', 'Z']",1
sneezed,"['S', 'N', 'IY1', 'Z', 'D']",1
sneezing,"['S', 'N', 'IY1', 'Z', 'IH0', 'NG']",2
snowed,"['S', 'N', 'OW1', 'D']",1
sofa,"['S', 'OW1', 'F', 'AH0']",2
soul,"['S', 'OW1', 'L']",1
spelled,"['S', 'P', 'EH1', 'L', 'D']",1
squeeze,"['S', 'K', 'W', 'IY1', 'Z']",1
stands,"['S', 'T', 'AE1', 'N', 'D', 'Z']",1
starting,"['S', 'T', 'AA1', 'R', 'T', 'IH0', 'NG']",2
stopping,"['S', 'T', 'AA1', 'P', 'IH0', 'NG']",2
stout,"['S', 'T', 'AW1', 'T']",1
stream,"['S', 'T', 'R', 'IY1', 'M']",1
tastes,"['T', 'EY1', 'S', 'T', 'S']",1
tiptoe,"['T', 'IH1', 'P', 'T', 'OW2']",2
tire,"['T', 'AY1', 'ER0']",2
toilet,"['T', 'OY1', 'L', 'AH0', 'T']",2
topham,"['T', 'AA1', 'F', 'AH0', 'M']",2
trailer,"['T', 'R', 'EY1', 'L', 'ER0']",2
tripped,"['T', 'R', 'IH1', 'P', 'T']",1
truly,"['T', 'R', 'UW1', 'L', 'IY0']",2
tub,"['T', 'AH1', 'B']",1
tuck,"['T', 'AH1', 'K']",1
twas,"['T', 'W', 'AH1', 'Z']",1
type,"['T', 'AY1', 'P']",1
upset,"['AH0', 'P', 'S', 'EH1', 'T']",2
uses,"['Y', 'UW1', 'S', 'AH0', 'Z']",2
walrus,"['W', 'AO1', 'L', 'R', 'AH0', 'S']",2
weary,"['W', 'IH1', 'R', 'IY0']",2
whales,"['W', 'EY1', 'L', 'Z']",1
wiggle,"['W', 'IH1', 'G', 'AH0', 'L']",2
wiped,"['W', 'AY1', 'P', 'T']",1
won,"['W', 'AH1', 'N']",1
wooden,"['W', 'UH1', 'D', 'AH0', 'N']",2
written,"['R', 'IH1', 'T', 'AH0', 'N']",2
york,"['Y', 'AO1', 'R', 'K']",1
al,"['AE1', 'L']",1
alley,"['AE1', 'L', 'IY0']",2
allow,"['AH0', 'L', 'AW1']",2
although,"['AO2', 'L', 'DH', 'OW1']",2
amble,"['AE1', 'M', 'B', 'AH0', 'L']",2
