word,needs_variants
dolphin,
dolphins,
dome,TRUE
domestic,
domo,
don,
donald,
done,
dong,TRUE
donkey,TRUE
donner,
dont,
donts,
doo,
doodle,TRUE
dooooo,
door,
doorknob,TRUE
doorman,
doornail,
doors,
doorstep,TRUE
doorstop,TRUE
doorway,
doorways,
doot,
dope,
dopp,
dorling,
dose,TRUE
dost,
dot,TRUE
doth,
dots,
dotty,
double,TRUE
doubt,TRUE
dough,
doughnot,
doughnut,
doughnuts,
dove,TRUE
dover,
down,
downer,TRUE
downpour,TRUE
downstairs,
downtown,
downward,
downy,
doze,TRUE
dozen,
dozens,
dozer,
dozing,
dr,
drag,TRUE
dragged,
dragging,
draggy,
dragon,
dragonflies,TRUE
dragons,
dragster,
drain,TRUE
drake,
drakes,
drama,
drank,
drapes,TRUE
drats,
draw,
drawer,
drawers,
drawing,
drawings,
drawn,
draws,
dread,TRUE
dreaded,
dreadful,
dreadfully,
dream,
dreamed,
dreamer,TRUE
dreamily,
dreaming,
dreams,
dreamt,
dreamy,
dreary,
drenched,TRUE
drenching,
dress,TRUE
dressed,
dresses,
dressmaker,TRUE
drew,
dried,
dries,
drift,
drifted,
drifting,
drifts,
driftwood,
drills,TRUE
drink,
drinkin,
drinking,
drinks,
dripped,TRUE
dripping,
drippings,
drippy,
drive,
driver,
drivers,
drives,
driveway,TRUE
drivin,
driving,
drizzle,TRUE
dromedary,
drool,TRUE
droopier,
drop,
dropped,
dropping,
droppings,
drops,
drove,
drown,TRUE
drowned,
drowning,
drowsiness,TRUE
drugstore,TRUE
drum,TRUE
drummer,TRUE
drumming,
drums,
drunk,TRUE
dry,
drybreak,
drying,
dub,TRUE
duchess,
duck,TRUE
duckbill,TRUE
duckling,
ducklings,
ducks,
ducky,
duddled,
due,
dues,
duet,TRUE
dug,
duke,
dull,
duller,TRUE
dum,
dumb,
dummy,
dump,
dumped,
dumper,TRUE
dumping,
dumpling,
dumplings,
dumps,
dumpty,
dun,
duncan,
dunce,
dune,
dunes,
dungeon,TRUE
dunk,
dupree,
during,
durn,
durst,
dusk,
dust,TRUE
dustbath,TRUE
dusted,
duster,TRUE
dusting,
dusty,
duty,TRUE
dw,
dwarves,TRUE
dwell,TRUE
dwells,
dwelt,
dye,TRUE
dying,
e,
each,
eager,
eagerly,
eagle,
eagles,
eamily,
ear,
eared,
earlier,
early,
earmuffs,TRUE
earnest,
earphones,TRUE
earrings,TRUE
ears,
earth,
earthly,
easier,
easiest,
easily,
easing,
east,
easter,
easy,
eat,
eaten,
eater,
eaters,
eating,
eats,
echo,TRUE
echoing,
echolocation,
eclair,
ed,
eddie,
edge,TRUE
edges,
education,TRUE
edward,
edwards,
edwin,
ee,
eeee,
eeeek,
eeeooo,
eek,
eel,TRUE
een,
eer,
eerily,TRUE
efg,
egg,TRUE
eggs,
eggshell,
eggshells,
egypt,
eiderdown,
eiffelberg,
eight,
eighteen,
eighth,
eights,
eighty,TRUE
either,
elbow,
elbows,
elderly,TRUE
eldest,
electric,TRUE
electricians,TRUE
electricity,
elegant,TRUE
elementary,TRUE
elephant,
elephantin,
elephants,
elevated,TRUE
elevator,TRUE
eleven,
elf,
elizabeth,
elk,TRUE
ell,
ellen,
elmo,
elmos,
elongated,TRUE
else,
elses,
elspeth,
elves,
em,
embarrassed,TRUE
embarrassing,
emblem,TRUE
embraced,TRUE
embraces,
embroidered,TRUE
emerald,TRUE
emerge,TRUE
emergency,TRUE
emily,
emma,
emptied,
empties,
empty,TRUE
enchanted,TRUE
enchantment,TRUE
encountered,TRUE
encouraged,TRUE
encyclopedias,TRUE
end,TRUE
ended,
endless,TRUE
endpaper,
ends,
enemies,TRUE
energetic,
engaged,TRUE
engine,
engineer,
engineering,
engineers,
engines,
england,
english,
enjoy,TRUE
enjoyed,
enjoying,
enormous,
enough,
enrolled,TRUE
enter,TRUE
entered,
enters,
entertain,TRUE
enthusiastically,TRUE
entire,TRUE
entirely,
entrance,TRUE
entranced,
envelope,
envelopes,
envious,TRUE
environmental,TRUE
envy,TRUE
enzo,
epilogue,TRUE
equal,TRUE
equals,
equipment,
er,
erased,TRUE
eraser,
erasers,
erases,
ered,
errand,
errands,
escalator,TRUE
escape,TRUE
escaped,
escaping,
especially,
espied,TRUE
est,
etticoat,
eunice,
european,TRUE
eve,
even,
evening,
evenings,
eventually,
ever,
evermore,
every,
everybody,
everybodys,
everyone,
everyones,
everything,
everythings,
everywhere,
evil,TRUE
exact,TRUE
exactly,
examine,TRUE
examined,
example,TRUE
excavator,TRUE
excellent,
except,TRUE
excepting,
exchange,TRUE
exchanged,
excited,TRUE
excitedly,
excitement,
exciting,
exclaimed,TRUE
exclamations,TRUE
excuse,TRUE
exercise,TRUE
exercises,
exercising,
exert,TRUE
exeter,
exhausted,TRUE
exhibit,TRUE
exist,TRUE
existed,
exit,TRUE
expect,TRUE
expectant,TRUE
expected,
expecting,
expensive,
experience,TRUE
experienced,
experts,TRUE
explain,TRUE
explained,
explains,
exploration,TRUE
explore,TRUE
explored,
explorers,TRUE
exploring,
explosion,TRUE
exposing,
express,TRUE
expressed,
expression,TRUE
exquisite,
extra,TRUE
extraordinary,
extremely,TRUE
eye,
eyeballs,TRUE
eyebrow,TRUE
eyed,
eyelash,TRUE
eyelid,
eyelids,
eyes,
f,
fa,
fabulous,
face,TRUE
faced,
faces,
fact,
factories,
factory,
factorys,
facts,
fade,TRUE
faded,
fades,
fail,TRUE
failed,
fails,
faint,TRUE
fainted,
fair,
fairfax,
fairies,
fairly,
fairy,
fairys,
fall,
fallen,
fallin,
falling,
falls,
fame,
familiar,
families,
family,
familys,
famous,
fan,TRUE
fancies,
fancy,
fantastic,
far,
faraway,
fare,TRUE
farewell,
farm,TRUE
farmer,
farmers,
farmhands,
farmhouses,TRUE
farmland,
farther,
farthing,
farthings,
fascinated,TRUE
fascinating,
fashioned,TRUE
fast,
fastened,
faster,
fastest,
fat,
fate,
fateful,
father,
fathers,
fatter,
fault,
favor,TRUE
favorite,
favorites,
favors,
fawn,TRUE
fb.i,
fear,TRUE
feared,
fears,
feast,
feasts,
feather,
feathered,
featherlegs,TRUE
feathers,
february,
februarys,
fed,
fee,TRUE
feed,
feeding,
feeds,
feel,
feeling,
feelings,
feels,
feet,
feff,
feffer,
felicity,
fell,
fellow,TRUE
felsh,
felt,
fence,TRUE
fences,
ferdinand,
ferns,TRUE
ferocious,
ferociously,
ferry,TRUE
festival,TRUE
festive,
festivities,TRUE
festoon,
fetch,TRUE
fetched,
fetlock,
fever,
feverishly,TRUE
few,
fewer,TRUE
ff,
fhe,
fi,
fictional,
fictions,TRUE
fiddle,TRUE
fiddlebrain,
fiddler,
fiddlers,
fiddles,
fiddlesticks,TRUE
fidelity,
fie,
field,
fielders,TRUE
fields,
fierce,
fiercely,
fiercest,
fiery,
fife,
fiffer,
fifteen,
fifteenth,
fifth,
fifty,
figgering,
fight,
fighters,TRUE
fighting,
fights,
figure,TRUE
figured,
figureheads,TRUE
file,TRUE
filed,
fill,
filled,
filling,
fills,
filthy,TRUE
fin,
final,TRUE
finale,
finally,
finch,TRUE
find,
finders,
finding,
finds,
fine,TRUE
finest,
finger,TRUE
fingers,
finish,
finished,
finisher,TRUE
finishes,
finishing,
fink,
fins,
fir,
fire,TRUE
fired,
firefighters,TRUE
fireflies,TRUE
fireman,
firemans,
firemen,
firemens,
fires,
fireworks,TRUE
firm,TRUE
firmly,
first,
fish,
fishbowl,TRUE
fished,
fisher,TRUE
fisherman,TRUE
fishes,
fishin,
fishing,
fishy,
fist,TRUE
fists,
fit,TRUE
fitness,
fits,
fitted,
five,
fix,TRUE
fixed,
fixing,
flag,TRUE
flaggle,
flags,
flake,TRUE
flakes,
flame,TRUE
flaming,
flamingo,TRUE
flannel,TRUE
flap,TRUE
flapped,
flapping,
flappy,
flash,
flashed,
flashes,
flashing,
flashlight,
flashlights,
flat,TRUE
flatbed,TRUE
flavor,
flavors,
flax,
flea,
fleas,
fleck,TRUE
fled,
flee,TRUE
fleece,
fleeting,TRUE
flew,
flickered,TRUE
flied,
fliers,
flies,
flight,
flights,
flinders,
flip,TRUE
flipped,
flippers,TRUE
flipping,
flitter,TRUE
float,
floated,
floatin,
floating,
floats,
flock,TRUE
flooded,TRUE
floor,TRUE
floors,
floorwalker,
flop,TRUE
flopped,
flopsy,
flora,
floras,
florence,
florida,
florio,
flossy,TRUE
flounced,TRUE
flour,
flow,TRUE
flowed,
flower,
flowerpot,
flowerpots,
flowers,
flowing,
flown,
flu,
fluff,
fluffy,
flump,
flung,TRUE
flurries,TRUE
flushed,TRUE
flushes,
flustered,TRUE
flute,TRUE
flutes,
fluting,
flutter,TRUE
fluttered,
fluttering,
fly,
flyer,TRUE
flying,
foal,TRUE
fog,TRUE
fol,
folded,TRUE
folds,
folk,
folks,
follow,
followed,
following,
follows,
fond,
food,TRUE
foofamaloo,
foog,
fool,TRUE
fooled,
foolish,TRUE
fools,
foot,
football,TRUE
footman,
footmen,
footprints,TRUE
footsteps,TRUE
footsy,
for,
forage,TRUE
forced,TRUE
forehead,TRUE
foreman,
forest,
forests,
forever,
forgave,
forget,
forgets,
forgetting,
forgive,TRUE
forgot,
forgotten,
forio,
fork,
forklift,TRUE
forks,
forlorn,
form,TRUE
formed,
forming,
fort,TRUE
forth,
fortnight,
fortunately,
fortune,
forty,
forward,
forwarding,
forwards,
fory,
foster,TRUE
fought,
foul,TRUE
found,
foundation,TRUE
fountain,
fountains,
four,
fourpence,
fourteen,
fourth,
fox,
foxes,
foxs,
foxy,
fragile,
frame,TRUE
framed,
france,
frances,
francine,
francisco,
frankfurters,
franks,TRUE
frantic,
frantically,
frat,TRUE
fred,
freddy,
free,TRUE
freedom,TRUE
freeze,TRUE
freezes,
freezy,
freight,TRUE
freighter,
french,
frenchy,
frequently,
fresh,
freshener,TRUE
freshly,
fret,TRUE
fretting,
friday,
fridays,
fridge,TRUE
fried,
friend,
friendliest,
friendly,
friends,
friendship,
fries,
fright,TRUE
frighten,TRUE
frightened,
frightening,
frightful,
frightfully,
frill,
frills,
fringe,TRUE
frisbee,TRUE
frisking,TRUE
fritter,TRUE
fritz,
fritzie,
fritzs,
frog,
froggy,
frogs,
frolic,TRUE
from,
front,
frost,TRUE
frosting,
frosty,
frown,TRUE
frowned,
froze,
frozen,
frrooggyy,
fruit,
fruiterers,TRUE
fruits,
fruity,
frump,TRUE
frumpaty,
fry,
fryer,TRUE
frying,
fuddled,TRUE
fudge,TRUE
fuel,TRUE
fuity,
fujiko,
full,
fum,
fun,
funeral,TRUE
fungus,TRUE
funky,
funnel,TRUE
funniest,
funny,
fur,TRUE
furious,
furiously,
furnace,TRUE
furniture,
furrows,TRUE
furry,
further,
furu,
fury,
fuss,TRUE
fussed,
fussing,
fussy,
futon,TRUE
future,
fuzzbrain,
fuzzy,
g,
ga,
gabby,
gack,
gaga,
gagged,TRUE
gaily,
gale,
gall,TRUE
gallant,
galley,TRUE
gallon,TRUE
gallop,TRUE
galloped,
galloping,
galore,
gamberally,
game,TRUE
games,
gander,TRUE
gang,TRUE
gap,TRUE
garage,
garages,
garbage,
garden,TRUE
gardener,
gardeners,
gardening,
gardens,
garment,TRUE
garters,
gas,TRUE
gasazi,
gash,TRUE
gaskets,TRUE
gasoline,
gasp,TRUE
gasped,
gate,TRUE
gateways,TRUE
gather,TRUE
gathered,
gatherer,TRUE
gathering,
gatlin,
gave,
gavel,
gay,TRUE
gaze,TRUE
gazed,
gazing,
gbye,
gee,
geeling,
geese,
gellar,
general,
generally,
generals,
generations,TRUE
generator,TRUE
generous,TRUE
genius,
gentle,
gentleman,
gentlemanly,
gentlemen,TRUE
gentleness,
gently,
genus,
geography,
geoppolis,
george,
georges,
georgy,
gerald,
geralds,
get,
gets,
getting,
gg,
ghair,
ghblighrrfzze,
ghost,TRUE
ghostly,
ghosts,
giant,
giblets,TRUE
gift,TRUE
gifts,
gigantic,
giggle,
giggled,
giggles,
giggling,
giles,
gills,TRUE
gilly,
ginger,TRUE
gingko,
gino,
giraffe,
giraffes,
girl,
girls,
gitchy,
give,
given,
givers,
gives,
givin,
giving,
gizzard,TRUE
glad,TRUE
glamorous,
glance,TRUE
glanced,
glances,
glared,TRUE
glaring,
glass,
glasses,
glazed,TRUE
gleamed,TRUE
gleaming,
glided,TRUE
glides,
gliding,
glistenin,TRUE
glistens,
glittered,TRUE
glittering,
glittery,
globe,TRUE
globs,TRUE
gloomily,
gloomy,
gloppy,
gloria,
glories,
glorious,
glory,
glossy,
gloster,
gloucester,
glove,TRUE
gloves,
glow,
glowed,
glowin,
glowing,
glows,
glue,TRUE
glued,
gluer,TRUE
gluey,
glug,TRUE
glum,
glumping,TRUE
glumps,
glunk,
glupp,
gluppity,
glurpy,
gnarls,TRUE
gnashed,TRUE
gnashin,
gnat,TRUE
gnawed,TRUE
gnomes,TRUE
gnu,TRUE
go,
goal,TRUE
goalie,TRUE
goat,
goatin,
goats,
gobble,TRUE
gobbled,
gobblers,
gobbles,
goblin,
goblins,
gobs,
god,TRUE
godieeeeeee,
godzilla,
goes,
goest,
goggles,TRUE
goggly,
gogol,
goin,
going,
gold,
goldbug,
goldbugdozer,
golden,
goldfinch,TRUE
goldfish,TRUE
goldie,
goldilicious,
goldilocks,
golf,TRUE
golfers,TRUE
gone,
gonna,
goo,
good,
goodbye,TRUE
goodies,
goodness,
goodnight,
goods,
goodway,
goody,
gooey,
goofy,
googies,
google,TRUE
googoo,
goose,
gooseberry,
goosefeathers,TRUE
goosey,
gopher,
gordon,
gordons,
gore,TRUE
gorgeous,
gorgonzola,
gorilla,TRUE
gossip,TRUE
got,
gotham,
gotta,
gotten,
gourd,TRUE
gourmet,
gown,
gowns,
gox,
gozaimasu,
grab,TRUE
grabbed,
grabbing,
grace,TRUE
graceful,
gracefully,
graces,
gracious,
graciously,
grade,TRUE
grader,
graders,
gradual,
gradually,
graduate,TRUE
graduated,
graffiti,TRUE
grain,TRUE
gramma,
grammy,
gramps,
gran,
grand,
grandchildren,
grandchildrens,
granddaughter,TRUE
grandfather,
grandfathers,
grandma,
grandmas,
grandmother,
grandmothers,
grandpa,
grandparents,TRUE
grandpas,
granny,
grannys,
grans,
grant,TRUE
granted,
grapes,TRUE
grapplin,TRUE
grasp,TRUE
grasped,
grass,
grasses,
grasshopper,
grasshoppers,
grassy,
grateful,TRUE
gratified,TRUE
grave,TRUE
gravel,
gravely,
gray,TRUE
grease,TRUE
greaser,TRUE
greasy,
great,
greater,
greatest,
greatly,
greece,
greed,
greedy,
green,
greener,
greenie,
greens,
greenwood,TRUE
greet,TRUE
greetings,
greets,
grew,
grey,
greyhip,
greyish,
grickle,
griddle,TRUE
grieves,TRUE
griffith,
grim,
grimace,TRUE
grimes,TRUE
grin,TRUE
grind,TRUE
grins,
gripes,TRUE
gripped,TRUE
gripping,
gristly,
grits,TRUE
gritted,
grizzly,
groan,TRUE
groaned,
groans,
groany,
groat,TRUE
grocers,TRUE
grocery,TRUE
groomed,TRUE
groomers,TRUE
groove,TRUE
groovy,
grop,
gross,TRUE
grouchy,TRUE
ground,TRUE
grounds,
groups,TRUE
grover,
grow,
growed,
growin,
growing,
growl,
growled,
growling,
growls,
grown,
grows,
grrrrr,
grrrrrrrrr,
gruel,
gruffalo,
gruffalos,
grum,
grumble,TRUE
grumbled,
grumbles,
grumbly,
grump,
grumph,
grumpy,
grundy,
grunts,TRUE
grush,
gruvvulous,
guaranteed,TRUE
guard,
guarded,
guardians,TRUE
guarding,
guards,
guck,
gucky,
guess,TRUE
guessed,
guest,
guests,
guff,
guide,TRUE
guidebook,TRUE
guinea,
guineas,
guitarist,TRUE
gulls,TRUE
gully,
gulp,TRUE
gulped,
gulps,
gum,TRUE
gummed,
gump,
gums,
gun,
gunpowder,
guns,
guru,TRUE
gus,
gust,TRUE
gusts,
gusty,
gutter,
gutters,
guy,
guys,
h,
ha,
haa,
haaa,
habit,
habits,
hack,TRUE
hacker,
hacking,
hacks,
had,
hadnt,
hadrosaur,
hah,
haha,
hai,
haiku,TRUE
hailing,TRUE
hair,
haircut,TRUE
hairdresser,TRUE
haired,
hairnet,
hairs,
hairy,
hairyness,
hakken,
half,TRUE
halfpence,
halfpenny,
halfway,
hall,TRUE
hallow,TRUE
halloween,
hallway,
hallways,
ham,
hamburger,
hamburgers,
hame,
hamlin,
hammer,TRUE
hammering,
hammers,
hammock,TRUE
hams,
hand,TRUE
handed,
handful,
handfuls,
handies,
handkerchief,
handkerchiefs,
handle,
handlebars,TRUE
handles,TRUE
handling,
hands,
handsome,
handsomer,TRUE
handstand,TRUE
handwriting,
handy,
hang,
hanged,
hangin,
hanging,
hangnail,TRUE
hangs,
hankie,
hanky,
hansens,
hapenny,
happen,
happened,
happening,
happens,
happenstance,
happier,
happiest,
happily,
happiness,
happy,
harbor,TRUE
hard,
harder,
hardest,
hardly,
hardosaur,
hardware,
hare,TRUE
hares,
hark,
harm,TRUE
harmful,
harms,
harness,TRUE
harnesses,
harold,
harp,TRUE
harps,
harriet,
harrow,TRUE
harry,
harrys,
hart,
harumph,
harvest,TRUE
harvested,
harvester,TRUE
harvey,
has,
hash,TRUE
hasnt,
hastening,TRUE
hastings,TRUE
hat,
hatberry,
hatch,TRUE
hatched,
hatchling,
hate,TRUE
hated,
hateful,TRUE
hates,
hath,
hats,
hatt,
hatters,TRUE
haul,TRUE
hauled,
hauling,
haunting,TRUE
havalahs,
have,
haven,TRUE
havent,
haves,
having,
hawk,TRUE
hawthorn,
hay,
hayberry,
haystack,TRUE
hazel,
hazy,
he,
hea,
head,
headache,TRUE
headdress,TRUE
headed,
headfirst,
heading,
headlands,TRUE
headquarters,TRUE
heads,
heal,TRUE
healing,
health,
healthy,
heap,TRUE
heaping,
hear,
heard,
hearing,
hears,
heart,
heartless,
hearts,
hearty,
heat,TRUE
heather,
heaved,TRUE
heaven,
heavens,
heavier,TRUE
heavy,
heck,
hecks,
hector,
hed,
hedgehog,TRUE
hedgie,
hedgies,
hee,
heed,TRUE
heeeeelllllppppp,
heel,TRUE
heels,
hei,
heigh,
heights,TRUE
heighty,
heir,
heisted,TRUE
held,
helen,
helens,
helicopter,TRUE
hell,
hello,
helmet,TRUE
help,
helped,
helpers,TRUE
helpful,TRUE
helping,
helpings,
helpless,TRUE
helps,
helter,
hem,TRUE
hemp,
hen,
henry,
henrys,
hens,
her,
herb,TRUE
herbalists,TRUE
herds,TRUE
here,
heres,
heritage,TRUE
hero,
heroes,
heron,TRUE
herrings,TRUE
hers,
herself,
hes,
hesitated,TRUE
hesitation,
hester,
hesters,
het,
hethreetreebee,
hey,
hh,
hi,
hick,TRUE
hickery,
hickety,
hickory,
hid,
hidden,
hide,
hides,
hidin,
hiding,
higgledy,
high,
highchair,TRUE
higher,
highest,
highness,
highway,
highways,
hijk,
hike,TRUE
hiked,
hill,TRUE
hilled,
hillocks,TRUE
hills,
hillsides,TRUE
him,
himself,
hind,TRUE
hint,TRUE
hip,
hippo,
hippoloader,
hippopotamus,
hippos,
hips,
hiram,
hire,TRUE
hired,
hiroko,
hirokos,
his,
hiss,TRUE
hissed,
hisself,
hissing,
history,TRUE
hit,TRUE
hitch,TRUE
hitched,
hitchhiker,TRUE
hither,
hits,
hive,TRUE
hm,
hmm,
hmmm,
hmmmm,
hmmmmm,
ho,TRUE
hobbies,
hobble,
hobbledy,
hobby,
hockey,
hoe,TRUE
hoeing,
hog,TRUE
hogging,
hogs,
hold,
holding,
holds,
hole,TRUE
holed,
holes,
holey,
holiday,
holidays,
holler,
hollered,
hollering,
hollers,
hollow,TRUE
hollows,
holmes,
home,
homeland,TRUE
homeless,
homely,
homemade,
homer,
homes,
homesick,
homework,
honest,TRUE
honestly,
honestwhen,
honey,
honeymoon,
honeysuckle,TRUE
honk,TRUE
honked,
honking,
honor,TRUE
honorable,
honorary,
honored,
hoo,
hood,TRUE
hoof,
hook,TRUE
hooked,
hooks,
hoooo,
hooooooome,
hoop,TRUE
hoops,
hooray,
hoos,
hoot,TRUE
hooted,
hooting,
hooves,
hop,
hope,
hoped,
hopefully,
hopeless,TRUE
hopes,
hoping,
hopped,
hopping,
hops,
horace,
horiz,
horizon,TRUE
horn,
horned,
horner,
hornpipe,TRUE
horns,
horrible,TRUE
horrid,
horror,TRUE
horse,TRUE
horseless,
horses,
horseshoe,TRUE
horton,
hortons,
hose,TRUE
hosiers,
hospital,
hospitals,
host,TRUE
hot,
hotel,TRUE
hound,TRUE
hour,
hours,
house,
housefly,TRUE
houseguests,TRUE
housekeeper,TRUE
houses,
housetop,TRUE
hovercraft,TRUE
hovered,TRUE
hovering,
how,
howdy,
however,
howl,TRUE
howled,
howlin,
howling,
hows,
hoy,
hree,
hubba,
hubbard,
hubbles,
hubcaps,TRUE
huddled,TRUE
hudson,
huff,TRUE
huffed,
huffing,
hug,
huge,
hugged,
hugging,
huggy,
hugs,
huh,
hulky,
hullabaloo,
hullo,
hum,
human,
humans,
hummed,
humming,
humor,
humorous,TRUE
hump,TRUE
humpback,TRUE
humpf,TRUE
humpfed,
humps,
humpty,
humpy,
hums,
hunch,TRUE
hunched,
hundred,
hundreds,TRUE
hung,
hunger,
hungry,
hunt,TRUE
hunted,
hunter,TRUE
hunting,
huppa,
hurled,TRUE
hurrah,
hurray,
hurricane,TRUE
hurried,
hurries,
hurry,
hurrying,
hurt,
hurting,
hurtles,TRUE
hurts,
husband,TRUE
hush,TRUE
husky,TRUE
hustle,TRUE
hustled,
hustling,
huzza,
hydrant,TRUE
hyena,TRUE
i,
ian,
icabod,
ice,TRUE
iceberg,TRUE
icebox,TRUE
iced,
icicle,TRUE
icing,
ickle,
icy,
id,
idea,
ideal,TRUE
ideas,
if,
ifs,
igh,
ignored,TRUE
ignoring,
ii,
iiing,
iku,
ill,TRUE
illnesses,TRUE
illustrated,TRUE
illustrator,TRUE
im,
imaginary,
imagination,TRUE
imagine,TRUE
imagined,
imagining,
immediately,TRUE
impatient,TRUE
implies,TRUE
implored,TRUE
impolite,TRUE
important,
importantly,
impos,
impossible,
impossibles,
impress,TRUE
impressed,
impression,TRUE
improved,TRUE
impulse,TRUE
in,
inch,TRUE
inches,
inchworm,TRUE
incident,TRUE
included,TRUE
including,
incredible,
incredibly,
indeed,
indescribable,TRUE
indian,
indians,
indicate,TRUE
indignantly,TRUE
indoors,
infant,TRUE
inform,TRUE
information,
informed,
ing,
ingredient,TRUE
injured,TRUE
ink,TRUE
inquiring,TRUE
insects,TRUE
inseparable,TRUE
inside,
insides,
insis,
insist,TRUE
insisted,
inspire,TRUE
inspired,
instamatic,
instant,
instantly,
instead,
instructions,TRUE
instruments,TRUE
insulted,TRUE
integrate,TRUE
intend,TRUE
intended,
interest,TRUE
interested,
interesting,
interpretive,
interrupt,TRUE
interrupted,
interrupting,
intery,
intimate,TRUE
into,
introduced,TRUE
introduction,TRUE
invading,TRUE
invariably,
invented,TRUE
invention,TRUE
investigate,TRUE
invisible,
invitation,
invitations,
invite,
invited,
invites,
inviting,
iooking,
irene,
irenes,
iron,TRUE
ironed,
ironing,
is,
ish,
island,
islands,
isle,TRUE
isnt,
it,
italy,
itch,TRUE
itchy,
itll,
its,
itself,
itty,
ive,
ives,
ivory,
ivy,
j,
jabbed,TRUE
jack,TRUE
jacked,
jacket,
jackets,
jackrabbit,TRUE
jacks,
jacky,
jade,TRUE
jags,
jail,TRUE
jake,
jalapeno,
jam,TRUE
jamble,
jamboree,
james,
jamma,
jammies,
jamming,
jams,
jane,
janitor,TRUE
january,
japan,
japanese,
japansneeze,
japapn,
jar,TRUE
jasmine,
jaundiced,TRUE
jaunty,
jaw,TRUE
jaws,
jays,TRUE
jazzbery,
jazzed,TRUE
jealous,
jealousy,
jeans,
jed,
jeep,TRUE
jelf,
jell,
jelly,TRUE
jellyball,
jellyballs,
jellyfish,
jen,
jennifer,
jenny,
jennys,
jerked,TRUE
jerry,
jertain,
jet,TRUE
jewel,TRUE
jeweled,
jewelry,
jewels,
jews,TRUE
jibboo,
jig,TRUE
jiggety,
jiggle,TRUE
jill,
jim,
jimminy,
jimmy,
jims,
jingle,TRUE
jingly,
jj,
jo,
joan,
job,
jobs,
jockey,TRUE
joe,
joey,
jog,TRUE
jogged,
john,
johnny,
johnnys,
johns,
join,
joined,
joining,
joins,
joke,TRUE
joked,
jokes,
jolly,
jonathan,
jordans,
journey,
journeys,
joy,
joyfully,TRUE
joyner,
joyous,TRUE
joys,
judge,TRUE
judges,
judy,
judys,
juez,
juggle,TRUE
juggling,
juice,TRUE
juicy,
julius,
july,
jumble,TRUE
jump,
jumped,
jumper,TRUE
jumping,
jumpity,
jumps,
jumpy,
junction,TRUE
june,
jungle,
jungles,
junior,TRUE
junk,
jurassic,
just,
justice,
justicia,
jut,
k,
kack,
kackleman,
kaleidoscope,TRUE
kangaroo,
kangaroos,
karens,
katie,
katies,
katroo,
katy,
katys,
keen,
keep,
keeper,
keepers,
keeping,
keeps,
keller,
ken,
kept,
kerack,
kerchoo,
kernel,TRUE
kerosene,
kerplop,
kertyschoo,
ketchup,
kettle,
kettles,
key,
keys,
kick,
kicked,
kickin,
kicking,
kickity,
kicks,
kid,
kiddies,
kidding,
kidnap,TRUE
kids,
kie,
kilkenny,
kill,TRUE
killed,
killing,
kimonos,TRUE
kind,
kindergarten,TRUE
kindersley,
kindly,
kindness,
kinds,
king,
kingdom,TRUE
kingly,
kings,
kipperville,
kirk,
kiss,
kissed,
kisses,
kissing,
kitchen,TRUE
kite,
kites,
kits,TRUE
kitten,
kittens,
kitties,
kitty,
kk,
klabble,
klack,
klang,
kleek,
klick,
klonk,
klopp,
knack,
knave,
knead,TRUE
kneaded,
kneading,
knee,
kneeling,TRUE
knees,
knelt,
knew,
knickers,
knife,
knight,
knights,
knit,TRUE
knitted,
knitting,
knives,
knobbly,
knobby,
knobs,TRUE
knock,
knocked,
knocker,
knocking,
knocks,
knot,TRUE
knots,
knotted,
know,
knowed,
knowing,
known,
knows,
knox,
knuffle,
koala,TRUE
koff,
kooky,
kopperville,
kraks,
krause,
kulich,
kuplank,
kuplink,
kuplunk,
kyloe,
l,
la,
lab,TRUE
labeled,TRUE
lace,TRUE
laces,
lack,TRUE
lad,TRUE
ladder,
ladders,
laddie,
laden,
ladies,
lady,
ladybird,
ladybug,
ladybugs,
ladys,
lag,TRUE
lagoon,
lags,
laid,
lair,
lake,
lakes,
lal,
lala,
lamb,
lambs,
lame,
lamed,
lamp,TRUE
lamppost,TRUE
land,
landed,
landing,
lands,
landscape,TRUE
lane,
lanes,
language,TRUE
lanterns,TRUE
lap,TRUE
larder,
large,
larger,
largest,
lark,
larry,
lashes,TRUE
lasses,TRUE
lasso,
last,TRUE
lasted,
lastly,
latch,TRUE
latched,
late,
later,
latest,
latex,
latin,
latina,
laugh,
laughed,
laughing,
laughs,
laughter,
lauk,
launched,TRUE
laundromat,TRUE
laundry,
laura,
laurie,
law,
lawn,
lawns,
laws,
lay,
laying,
lays,
lazy,
lazybones,
lckle,
lea,
lead,TRUE
leader,
leaders,
leadin,
leaf,
leafy,
leak,TRUE
leaking,
leaky,
lean,TRUE
leaned,
leaning,
leap,
leaped,
leaping,
leaps,
leapt,
learn,
learned,
learning,
learns,
learnt,
leash,TRUE
leasing,TRUE
least,
leather,
leave,
leaved,
leaves,
leaving,
lectric,
led,
ledge,TRUE
lee,
leeds,TRUE
left,
leftover,
leftovers,
leg,
legacy,TRUE
legged,
legs,
lemlich,
lemon,TRUE
lemonade,
lend,TRUE
lending,
lengthening,TRUE
lent,
lentil,TRUE
leo,
leopard,
leopards,
leos,
leprechaun,TRUE
ler,
lerkim,
lers,
less,
lessmore,
lessmores,
lesson,
lessons,
lester,
let,
lets,
letter,
letters,
letting,
lettuce,
lettuces,
level,TRUE
lever,
levers,
lewd,
